Database_ID,Database_Name,Associated_Subjects,Original_Description_HTML,Rewritten_Description_A_HTML,Rewritten_Description_B_HTML,Database_URL,
7231010,Bests Library Center,Business,"A searchable database of ratings, reviews, and profiles of insurance companies, from A.M. Best, the leading rating agency of financial services companies. Review a company's AMB Credit Report for in-depth information featuring 5-years of financial analysis, as well as detailed commentary on company management and operating history.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://bestlink.ambest.com/bestlinklibraries/ProxyRedirect.aspx,
7231011,Bibliography of Asian Studies,English and Comparative Literature;Asian American Studies;Linguistics;Sociology;Asian Studies;Anthropology;Cultural Anthropology;Linguistic Anthropology,"Available via EBSCO. This database is  indexes journal articles, monographs, book chapters, conference proceedings, and anthologies on East, Southeast &amp; South Asia published worldwide. Emphasis is on the Humanities and Social Sciences including Anthropology, Arts, Biography, Communications &amp; Media, Economics, Education, Geography, History, Language &amp; Literature, Library &amp; Information Sciences, Philosophy &amp; Religion, Politics &amp; Government, Psychology &amp; Psychiatry, Science &amp; Technology, and Sociology.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=bas,
7231012,Biography Index,Asian American Studies;Communications;Cinema and Television Arts;Communications--Entertainment Studies;Communications--Journalism;Communications--Public Relations,"Available via EBSCO. Indexes biographies, autobiographies, interviews, obituaries, collections of letters, diaries, memoirs, juvenile literature, book reviews, bibliographies, and exhibition reviews. Covers more than 3,000 English-language periodicals. Includes books of individual and collective biography. People covered range from antiquity to the present and represent all fields and nationalities.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=bit,
7231014,Black Thought and Culture,African American Studies;English and Comparative Literature;American Studies;History,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt;  Contains the non-fiction writings of over 1,000 major African American leaders, including teachers, artists, politicians, religious leaders, athletes, war veterans, entertainers, and other major figures from 1700 to the present. Includes full-text books, essays, articles, speeches, and interviews. The material can be browsed by author, source, year, personal event, historical event, and subject.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://search.alexanderstreet.com/bltc,
7231015,Book Review Digest Plus,English and Comparative Literature;Asian American Studies,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Provides access to reviews for over 600,000 books published since 1983, including fiction, nonfiction, books for children, and reference works in the humanities, social sciences, and general sciences. Includes both positive and negative reviews. Citations from thousands of periodicals. Daily updates.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=brd,
7231016,Book Review Digest Retrospective 1905-1982,English and Comparative Literature;Asian American Studies,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Provides access to reviews of 300,000 older books, with excerpts of the review provided. The reviews come from about 500 English-language popular magazines, newspapers, and academic journals published during the 20th century. Limited to 2 simultaneous users.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=brr,
7231017,British and Irish Womens Letters and Diaries,English and Comparative Literature;History;Gender and Sexuality Studies,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;The letters and diaries in this collection were authored by women resident in Great Britain or Ireland between 1700 and 1950. They provide first person accounts of about 500 women from all age groups, ethnicities, and many geographical regions. The materials may be browsed by author, source, year, place, historical events and personal events.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://search.alexanderstreet.com/bwl2,
7231018,Business Abstracts with Full Text,Accounting and Tax;Business;Economics;Management;Marketing;Finance;International Business,"The full text plus abstracting and detailed indexing of articles from business news, professional, trade &amp; industry, and scholarly research publications. Many articles are available as PDFs and your search can be limited to include only peer-reviewed journals.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=bft,
7231019,Business Source Premier,Accounting and Tax;Business;Economics;Chicana & Chicano Studies;Latin American Studies;Management;Marketing;Finance;International Business;Communications--Advertising;Communications--Entertainment Studies;Communications--Journalism;Communications--Public Relations,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Provides full text for thousands of scholarly journals and other periodicals.  Marketline publications, including Company Profiles, SWOT analysis, Case Studies, Country Profiles, and Industry Profiles are available.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=buh,
7231023,Census Information,Asian American Studies;Communications--Advertising;Communications--Public Relations,"Population, housing, economic, and geographic statistics, the latest economic indicators, and some historical census data back to 1790. Includes American Factfinder, American Community Survey, State &amp; County QuickFacts, and the 2002 Economic Census. Access to data sets from the 1990 and 2000 censuses. Full-text subject reports.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.census.gov/,
7231024,Chicano Database,English and Comparative Literature;Chicana & Chicano Studies;Latin American Studies;Linguistics;Sociology;Anthropology;Modern Languages & Literatures;Cultural Anthropology;Linguistic Anthropology,"Contains newspaper, magazine, journal, and book articles, books, government documents, pamphlets, and dissertations about Mexican-Americans, Chicanos, and Latinos. Subject areas covered: art, bilingual education, culture, economics, education, film, folklore, health, history, labor, law, literature, mental health, music, politics, psychology, public policy, religion, sociology, women's studies, and more. Languages: English; some Spanish.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=chd,
7231026,Chronicle of Higher Education,Asian American Studies;Education,"Provides images and full-text of the Chronicle of Higher Education, a leading source of national and international news about higher education including job listings, career advice and salary databases. Coverage from 1989. Provides access to The Chronicle of Philanthropy, Arts &amp; Letters Daily, and the Almanac of Higher Education. Contents updated daily on weekdays. Keyword searchable. Images included. Users can sign up for RSS feed.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://chronicle.com/,
7231027,CINAHL Complete,Public Health;Kinesiology;Counseling;Psychology;Asian American Studies;Chicana & Chicano Studies;Communication Sciences and Disorders;Aging Studies;Latin American Studies;Nursing;Social Work;Anthropology;Cultural Anthropology,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;CINAHL, the Cumulative Index to Nursing &amp;amp; Allied Health Literature, is a comprehensive research tool for nursing, allied health, public health, biomedicine, and related fields. It provides indexing for articles from 5,400 journals in the fields of nursing and allied health. This database provides full text access to more than 1,300 journals dating back to 1937.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/mbykln?db=ccm,
7231030,Classical Scores Library,Music,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt;  Digitized musical scores including full scores, study scores, piano and vocal scores, and piano reductions. Can be searched by composer, work/opus number, key, genre, instrument, time period. Now part of MUSIC ONLINE, which presents audio, video, and scores through one centralized interface that cross-searches American Song, Classical Music Library, Classical Scores Library, Contemporary World Music, Jazz Music Library, and Garland Encyclopedia of World Music Online.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://shmu.alexanderstreet.com,
7231031,Cochrane Library,Public Health;Psychology;Nursing;Social Work,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; The Cochrane Library brings together research on the effectiveness of healthcare treatments and interventions, providing independent evidence to inform healthcare decision-making. The Cochrane Systematic Reviews are presented full text with abstract, plain language summary, meta-analysis, and exhaustive literature reviews. The collection of six databases can be searched / browsed individually or simultaneously.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://www.cochranelibrary.com,
7231032,College Source Online,Asian American Studies;Education,"Presents 44,815 college catalogs with course descriptions. Full cover-to-cover, original page format for 2-year, 4-year, graduate, professional and international schools. Search by major, tuition, state, enrollment, degrees, and affiliation. Many entries include the current catalog with several previous years, some going back 10 years.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://cso.collegesource.com/,
7231034,Communication Source,English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Communications;Communication Sciences and Disorders;Human Communication;Latin American Studies;Cinema and Television Arts;TESOL;Communications--Advertising;Communications--Entertainment Studies;Communications--Journalism;Communications--Public Relations,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Communication Source is the most complete full-text research database for communication studies. It offers hundreds of top communication journals, magazines and other sources covering all related disciplines, including media studies, linguistics, speech pathology, rhetoric and discourse.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=cms,
7231038,CQ Researcher,Asian American Studies;Chicana & Chicano Studies;Communications;Criminal Justice;Aging Studies;History;Human Communication;Human Services;Latin American Studies;Political Science;General Research;Communications--Advertising;Communications--Entertainment Studies;Communications--Journalism;Communications--Public Relations,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Full-text detailed reports on controversial social, economic, political, educational, health, environmental, technology, and current topics. Each report includes an abstract, overview, background summary, current situation, outlook, special focus, chronology, pro/con, and bibliography.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://library.cqpress.com/cqresearcher,
7231041,Criminal Justice Abstracts,Counseling;Asian American Studies;Chicana & Chicano Studies;Criminal Justice;Latin American Studies;Social Work;Sociology;Political Science,"Criminology database containing international journals, books, reports, dissertations and unpublished papers. Topics included are crime trends, crime prevention, deterrence, juvenile delinquency, juvenile justice, police, courts, punishment, sentencing and more.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=cja,
7231045,Dissertations & Theses,Counseling;English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Education;Latin American Studies;Linguistics;Social Work;Anthropology;Modern Languages & Literatures;Archaeological Anthropology;Cultural Anthropology;Evolutionary Anthropology;Linguistic Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; Contains over 1,000,000 digitized doctoral dissertations in the humanities and social sciences. It also contains master's theses, including 4,000+ from Cal State Fullerton students, 1967-present. Citations for dissertations from around the world from 1637. NOTE: Includes the theses of Fullerton graduate students who have published through UMI Dissertation Publishing.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,"https://www.proquest.com/?accountid=9840&selectids=1007348,1006522",
7231046,DSM-5   5th ed.,Counseling;Psychology;Social Work,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;The online version of the DSM-5, the world's leading psychiatric reference publication, is an accurate representation of the print version, with all sections conveniently located and hyperlinked on the publication homepage. Features include: access to the complete archives of the DSM; access to the American Psychiatric Association (APA) practice guidelines; and access to abstracts from AJP in Advance (The American Journal of Psychiatry in Advance).&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://dsm.psychiatryonline.org/book.aspx?bookid=556,
7231047,EconLit Full-Text,Economics;Chicana & Chicano Studies;Latin American Studies;Anthropology;Cultural Anthropology,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; EconLit is a bibliographic database of more than one million citations and abstracts to peer-reviewed journal articles, books, collective volume articles (including conference papers), dissertations, working papers, and book reviews in all fields of economics including capital markets, country studies, econometrics, economic forecasting, environmental economics, government regulations, urban economics. Includes full-text of some journal articles.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=eoh,
7231048,Education Full-Text,Child & Adolescent Studies;Counseling;English and Comparative Literature;Asian American Studies;Chicana & Chicano Studies;Communication Sciences and Disorders;Education;Human Services;Latin American Studies;Linguistics;Social Work;Sociology;TESOL,"&lt;img alt=&quot;Covered in OneSearch&quot; src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; title=&quot;Covered in OneSearch&quot; /&gt; International coverage of English-language periodicals, monographs, and yearbooks covering the field of Education. Includes journals not covered in ERIC. Abstracts available from 1983, full-text articles available from 1996. SFX enabled; can e-mail, print, or download citations.", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,https://research.ebsco.com/c/p7moej/search/advanced/filters?db=eft,
7231051,eHRAF Archaeology,Chicana & Chicano Studies;Latin American Studies;Anthropology;Archaeological Anthropology,"&lt;p&gt;&lt;img src=&quot;https://libapps.s3.amazonaws.com/accounts/7085/images/SmallOneSearchO.png&quot; alt=&quot;Covered in OneSearch&quot; width=&quot;17&quot; height=&quot;15&quot;&gt;Provides information for over 50 major archaeological traditions from all parts of the world, including prehistoric life and cultural sequences. Includes the full-text of books, articles, and dissertations which are searchable down to the paragraph level.&lt;/p&gt;", DESCRIPTION A PLACEHOLDER, DESCRIPTION B PLACEHOLDER,http://ehrafarchaeology.yale.edu/,
